word	count	note
156	26	numeric-out-of-range
182	26	numeric-out-of-range
ann	26	short-token
buy	26	short-token
417	26	numeric-out-of-range
12th	26	alphanumeric-oddity
402	26	numeric-out-of-range
323	26	numeric-out-of-range
map	26	short-token
601	26	numeric-out-of-range
502	26	numeric-out-of-range
408	26	numeric-out-of-range
la	25	short-token
312	25	numeric-out-of-range
ya	25	short-token
612	25	numeric-out-of-range
241	25	numeric-out-of-range
149	25	numeric-out-of-range
118th	25	alphanumeric-oddity
901	25	numeric-out-of-range
pit	25	short-token
411	25	numeric-out-of-range
um	24	short-token
240	24	numeric-out-of-range
405	24	numeric-out-of-range
dc	24	short-token
419	24	numeric-out-of-range
621	24	numeric-out-of-range
325	24	numeric-out-of-range
153	24	numeric-out-of-range
237	24	numeric-out-of-range
721	24	numeric-out-of-range
sgt	24	short-token
don	24	short-token
503	24	numeric-out-of-range
cdl	24	short-token
rav4	23	alphanumeric-oddity
pa	23	short-token
133	23	numeric-out-of-range
164	23	numeric-out-of-range
242	23	numeric-out-of-range
630	23	numeric-out-of-range
292	23	numeric-out-of-range
318	23	numeric-out-of-range
609	23	numeric-out-of-range
406	23	numeric-out-of-range
drive-thru	23	possible-hyphenated-artefact
11108	23	numeric-out-of-range
255	22	numeric-out-of-range
162	22	numeric-out-of-range
400	22	numeric-out-of-range
245	22	numeric-out-of-range
115th	22	alphanumeric-oddity
max	22	short-token
603	22	numeric-out-of-range
ms	22	short-token
oak	22	short-token
304	22	numeric-out-of-range
bet	22	short-token
702	22	numeric-out-of-range
243	22	numeric-out-of-range
512	22	numeric-out-of-range
910	22	numeric-out-of-range
132	21	numeric-out-of-range
fed	21	short-token
155	21	numeric-out-of-range
20th	21	alphanumeric-oddity
185	21	numeric-out-of-range
fit	21	short-token
jim	21	short-token
287	21	numeric-out-of-range
kfc	21	short-token
nol	21	short-token
990	21	numeric-out-of-range
163	21	numeric-out-of-range
810	21	numeric-out-of-range
415	21	numeric-out-of-range
amr	21	short-token
700	21	numeric-out-of-range
19108	21	numeric-out-of-range
324	20	numeric-out-of-range
cam	20	short-token
ovt	20	short-token
293	20	numeric-out-of-range
144	20	numeric-out-of-range
osp	20	short-token
y	20	short-token
va	20	short-token
138	20	numeric-out-of-range
254	20	numeric-out-of-range
tim	20	short-token
171	20	numeric-out-of-range
20s	20	alphanumeric-oddity
19104	20	numeric-out-of-range
4312	20	numeric-out-of-range
