address	count	context
2020 Honda	5	valid
1374 Geel	5	valid
1701 Detroit	5	valid
2014 Chevy	5	valid
12525 Lake	5	valid
1615 Waterbury	5	valid
14221 Madison	5	valid
1612 Newman	5	valid
12202 Clifton	5	valid
14235 Madison	5	valid
13389 Madison	5	valid
100 And	5	suspect
2026 Kia	5	valid
20375 Center Ridge	5	suspect
17526 Madison	5	valid
13315 Detroit Ennis	5	valid
14600 Detroit Lakewood	5	valid
1405 Hopkins	5	valid
2026 Silverado	5	valid
1655 Elmwood	4	valid
1332 West	4	valid
2216 Eldridge	4	valid
1436 Alameda	4	valid
17433 Edgewater	4	valid
2002 Honda	4	valid
15115 Lake	4	valid
2014 Honda	4	valid
1359 Albert	4	valid
2010 Chevy	4	valid
11713 Lake	4	valid
230 Brown	4	suspect
130 Brown	4	suspect
4227 Delaware	4	suspect
2018 Dodge	4	valid
12925 Clifton	4	valid
1497 Winton	4	valid
2011 Bunts	4	valid
2065 Atkins	4	valid
12905 Madison	4	valid
1425 Waterbury	4	valid
2014 Ram	4	valid
11801 Lake	4	valid
270 Traffic	4	suspect
160 Black	4	suspect
2010 Nissan	4	valid
1483 Newman	4	valid
1326 Thoreau	4	valid
135 Black	4	suspect
1675 Roosevelt	4	valid
18240 Detroit	4	valid
2008 Honda	4	valid
2025 Kia	4	valid
1308 Ramona	4	valid
1441 Newman	4	valid
1475 Winchester	4	valid
2016 Honda	4	valid
2015 Nissan	4	valid
2023 Toyota	4	valid
2015 Robin	4	valid
8500 Detroit	4	suspect
2007 Honda	4	valid
1503 Cohasset	4	valid
14805 Clifton	4	valid
1577 Newman	4	valid
2015 Chrysler	4	valid
1309 Westlake	4	valid
14534 Madison	4	valid
2207 Glenbury	4	valid
2015 Toyota	4	valid
2013 Toyota	4	valid
1540 Newman	4	valid
12507 Franklin	4	valid
1275 Clifton Prado	4	valid
15111 Detroit	4	valid
1383 Bonnevue	4	valid
2149 Brown Road	4	valid
11805 North Lane	4	valid
1447 Lewis	4	valid
15707 Detroit	4	valid
12206 Clifton	4	valid
11733 Edgewater	4	valid
2016 Nissan	4	valid
1468 Coutant	4	valid
1594 Alameda	4	valid
2018 Subaru	4	valid
2008 Ford	4	valid
1685 Lincoln	4	valid
1423 Riverside	4	valid
14312 Detroit Apartment	4	valid
13880 Edgewater	4	valid
11829 Clifton	4	valid
17533 Madison	4	valid
2013 Dodge	4	valid
2095 Northland	4	valid
1548 West	4	valid
14412 Detroit	4	valid
1515 Westwood	4	valid
2003 Chevy	4	valid
17105 Madison	4	valid
17525 Madison	4	valid
1489 Wyandotte	4	valid
2019 Woodward	4	valid
1422 Rio	4	valid
2019 Jeep	4	valid
1472 Cordova	4	valid
1357 Riverside	4	valid
3500 Detroit	4	suspect
1543 Orchard Grove	4	valid
14900 Lakewood Heights	4	valid
3330 Detroit	4	suspect
2132 Lewis	4	valid
1266 Cove	4	valid
2017 Kia	4	valid
13396 Madison	4	valid
11821 Davis Court	4	valid
18204 Detroit	4	valid
12053 Lake	4	valid
1471 Arthur	4	valid
12402 Madison	4	valid
2104 Lark	4	valid
1381 Bunce	4	valid
1341 Marlo	4	valid
12601 Lake	4	valid
1269 Manor Park	4	valid
1699 Valley Parkway	4	valid
1345 Beach	4	valid
1561 Alameda	4	valid
17531 Madison	4	valid
1510 Hopkins	4	valid
143 Detroit	4	suspect
2018 Chevy	4	valid
11710 Nelson Court	4	valid
17102 Detroit	4	valid
15319 Detroit	4	valid
1423 Lauderdale	4	valid
8200 Sloan	4	suspect
13230 Detroit	4	valid
1436 Arthur	4	valid
12901 Detroit	4	valid
123 Lake	4	suspect
1584 Lincoln	4	valid
2160 Atkins	4	valid
2019 Hyundai	4	valid
1441 Woodward	4	valid
12029 Clifton	4	valid
1527 Wyandotte	4	valid
17436 Clifton	4	valid
1352 West Clifton	4	valid
1652 Lincoln	4	valid
11715 Nelson Court	4	valid
1427 Wyandotte	4	valid
18520 Detroit	4	valid
