word	count
longer	144
41	144
view	144
gmc	144
ems	143
money	143
received	143
cautions	143
much	143
odor	143
type	143
shorts	143
boyfriend	142
status	142
55	142
post	142
walked	142
difficulty	142
reset	142
62	142
dollar	141
complainant's	141
talked	141
2019	141
alert	141
response	141
hat	140
complaining	140
gone	140
beale	139
2015	139
43	139
elmwood	139
somewhere	139
happened	139
direction	139
2010	139
spot	138
special	138
he'll	138
grab	138
nobody	138
100	138
andrews	138
than	138
bleeding	138
2-car	137
violent	137
273	137
charges	137
38	137
s	137
summit	136
visible	136
49	136
2025	136
seems	136
gun	136
jackson	136
confirmed	136
hang	136
switching	136
200	135
switch	135
42	135
pd	135
question	135
sending	135
boulevard	134
goa	134
short	134
hard	134
private	134
free	133
2017	133
stated	133
female's	133
herself	132
broke	132
45	132
reason	132
main	132
12506	131
keeps	131
dropped	131
ambulance	131
security	131
pole	131
comfort	131
'19	131
car's	130
basement	130
possession	129
223	129
partner	129
notify	129
tag	129
answering	129
playing	129
perfect	128
original	128
13900	128
46	128
911	128
parma	127
noise	127
59	127
they've	127
entrance	127
check-in	127
trouble	126
wagar	126
late	126
soon	126
knocking	126
maintenance	126
district	125
volkswagen	125
food	125
hazel	125
lauderdale	125
65	124
aware	124
closing	124
felony	124
parkway	124
accidental	124
k	124
it'll	123
options	123
grace	123
wires	123
southwest	123
3rd	122
2024	122
older	122
garden	122
rest	122
250	122
d	122
51	122
week	121
77	121
correction	121
medics	121
rush	121
different	121
michigan	121
concerned	121
juveniles	121
spelling	121
chesterland	121
items	120
eyes	120
additional	120
2018	120
test	119
double	119
box	119
common	119
disturbance	119
ramp	119
unknown	118
full	118
taken	118
chance	118
qualified	118
search	118
sighted	118
2016	118
expiring	118
jeans	117
drop	117
2011	117
virginia	117
smith	117
buick	117
suspect	116
2014	116
bag	116
flight	116
print	116
once	116
75	115
animal	115
problems	115
pool	115
2-8	115
61	115
ma'am	115
47	114
refusal	114
heart	114
44	114
desk	114
small	114
stuff	113
282	113
row	113
equipment	113
valley	113
needed	113
blonde	112
54	112
2013	112
forward	112
52	112
face	112
that'll	111
access	111
mart	111
hanging	111
coast	111
hand	111
social	111
weapons	110
brockley	110
jailer	110
liquid	110
71	110
transported	110
stopping	110
using	110
sleeping	110
houston	110
thomas	110
stage	109
ok	109
